date,id,windspeed,winddirection,airtemp,humidity,rainfall,shortwave,longwave,pressure,surfacetemp,subsurfacetemp,salinity,waterpressure,current
2016-04-11 23:16:11,9,0.28,140,20.5,62,17.12,1052.84,334.74,794.7,18.78,11.72,38.94,54.52,0.79
2017-02-07 06:11:54,70,9.31,163,34.1,62,34.61,850.48,618.93,906.1,9.4,31.72,14.35,121.16,0.75
2011-01-31 19:44:59,22,18.1,318,-1.6,63,18.99,1056.54,158.17,1178.9,-5.3,12.8,14.55,189.28,0.17
2011-05-18 17:25:07,86,10.69,83,25.3,62,20.27,1286.39,227.9,749.4,21.2,32.39,9.31,127.83,0.8
2014-01-31 00:12:46,88,15.3,129,30.9,56,12.67,1265.23,264.31,787.5,35.6,36.8,8.88,136.8,0.46
2013-02-07 17:09:21,93,17.7,326,27.9,58,2.35,1197.11,812.21,760.6,38.1,10.45,26.98,152.69,0.15
2010-05-20 00:03:02,68,9.78,98,-5.7,60,11.38,934.6,903.41,831.6,36.0,10.19,21.1,106.34,0.78
2016-11-27 11:01:04,50,4.39,8,20.9,59,33.6,1866.39,582.96,752.5,-9.66,11.99,39.65,94.9,0.5
2017-03-19 10:08:48,74,16.71,260,-6.0,68,8.97,1885.98,774.78,884.7,25.11,34.3,19.81,127.8,0.22
2009-07-20 02:10:30,14,3.8,0,-2.7,61,1.71,186.6,835.77,1159.0,34.24,-1.34,7.69,105.74,0.98
2013-06-05 17:57:24,75,13.71,59,23.2,56,18.97,1672.81,798.18,930.2,4.82,27.64,22.6,139.85,0.12
2010-09-01 21:17:54,7,5.84,22,24.8,61,7.41,1893.83,845.28,1019.4,12.56,-5.18,19.8,24.5,0.41
2017-02-17 06:08:48,61,18.2,344,-3.2,59,19.78,160.93,154.91,881.7,-8.57,32.49,19.99,197.65,0.21
2014-11-01 14:35:07,76,11.32,121,-1.6,68,23.26,1535.43,31.31,819.4,4.84,25.9,2.85,98.25,0.96
2008-05-06 16:34:06,33,18.68,89,20.1,68,36.53,1510.33,934.23,804.2,-9.28,34.43,16.59,182.2,0.1
2014-04-02 00:47:55,34,9.75,123,-6.1,57,6.32,1275.31,328.79,982.4,12.41,-2.14,13.77,188.83,0.51
2013-04-16 13:08:34,72,17.0,316,24.0,67,33.37,25.48,348.99,1035.8,-2.13,34.13,10.84,176.49,0.33
2015-08-16 05:17:11,96,11.98,150,25.0,67,19.67,459.73,436.98,756.2,13.81,11.43,39.86,185.91,0.2
2009-03-29 04:10:26,28,3.67,246,-2.8,64,33.15,1368.66,990.58,1158.1,38.89,15.38,24.83,14.69,0.38
2013-01-14 18:37:06,35,15.7,88,-5.8,62,23.43,520.11,492.63,807.1,19.44,-1.31,22.45,2.5,0.28
2011-01-21 00:43:34,83,16.4,358,24.1,66,32.87,1203.15,963.95,1084.9,1.8,12.27,38.6,90.84,0.22
2013-11-05 10:48:32,98,13.46,17,20.6,69,18.21,225.95,320.47,728.0,16.96,26.92,10.96,129.5,0.83
2013-08-25 06:43:55,60,13.32,203,-4.6,64,0.32,921.43,344.73,737.8,-1.53,10.23,15.63,199.39,0.62
2015-03-11 07:36:27,49,0.89,61,-4.3,59,49.71,1528.83,326.28,1196.1,4.28,39.95,6.93,106.74,0.27
2011-12-24 11:57:58,60,1.43,283,20.5,63,37.68,757.33,99.27,884.2,2.96,30.6,19.76,112.14,0.22
2015-11-07 13:09:36,36,11.6,218,16.3,62,14.9,1911.21,831.93,825.9,26.79,32.34,39.91,159.64,0.72
2015-12-09 01:53:07,12,11.89,41,16.3,70,28.75,1756.27,927.45,842.0,1.44,39.57,23.75,27.79,0.74
2016-09-27 04:10:27,100,8.7,119,17.9,60,25.8,36.66,675.84,734.5,13.6,-1.93,24.69,55.68,0.89
2012-05-05 08:14:41,78,13.0,231,18.4,65,25.19,1960.1,45.84,927.6,-7.99,33.73,24.33,97.52,0.5
2017-01-20 18:21:35,38,19.79,80,20.2,56,2.12,1945.3,39.78,821.6,5.15,1.93,30.78,40.54,0.59
2016-08-10 00:12:03,92,13.22,320,15.4,70,37.2,1016.84,589.46,1052.9,-8.8,31.8,4.99,90.6,0.74
2015-05-22 06:53:21,86,6.17,278,-5.1,69,16.88,1653.64,569.3,1108.7,39.3,20.37,6.65,43.86,0.36
2015-01-02 08:03:54,62,9.51,162,-3.7,66,44.56,1398.84,944.21,958.0,29.54,39.13,33.96,26.68,0.48
2007-11-20 03:56:12,93,7.11,169,-3.0,58,10.63,1639.2,480.63,745.1,24.5,29.72,28.95,99.78,0.37
2012-07-13 11:16:07,51,0.42,178,15.8,61,23.2,375.73,74.86,1113.0,3.41,20.85,10.6,179.64,0.51
2016-04-24 20:15:17,54,9.13,221,16.3,68,34.5,207.71,53.9,969.2,-3.7,22.82,26.4,32.3,0.88
2013-09-19 02:42:25,3,1.89,255,30.8,60,22.11,1725.36,817.58,799.3,37.88,29.65,20.59,113.51,0.46
2011-12-04 15:17:45,66,1.89,56,30.8,57,2.19,1199.34,337.82,929.4,0.18,20.33,3.42,191.82,0.34
2012-09-24 21:37:16,34,9.47,177,15.0,70,25.73,482.64,790.52,1173.6,-8.78,-9.6,2.46,134.68,0.8
2017-02-14 12:10:53,10,5.0,286,-1.5,61,34.86,1975.12,543.71,961.6,-7.64,36.24,10.18,134.92,0.27
2014-10-09 03:12:18,88,14.9,264,22.8,61,38.39,1286.36,236.77,1156.6,31.38,35.9,21.23,47.23,0.95
2009-06-25 12:04:17,58,1.2,29,16.1,70,45.16,1519.89,439.29,1159.1,-9.95,32.68,26.31,178.21,0.8
2014-04-01 18:19:23,83,6.1,282,19.0,57,25.39,809.6,763.7,774.1,23.98,10.54,37.54,26.75,0.85
2013-07-02 20:42:55,16,7.36,244,-4.3,58,17.5,549.9,202.51,797.4,-6.22,-3.2,31.57,27.8,0.54
2014-07-19 01:47:28,57,9.33,118,19.1,61,9.28,16.67,-28.31,924.0,37.18,28.71,18.11,27.18,0.22
2015-08-23 09:09:33,9,16.12,139,22.8,56,19.48,1485.84,954.55,831.4,6.66,9.62,11.65,0.71,0.97
2009-12-21 17:29:23,62,8.81,347,24.2,63,9.1,79.91,440.56,881.1,-1.91,8.58,4.42,17.69,0.82
2010-05-01 22:36:21,94,10.35,292,23.2,60,1.66,1240.56,607.52,999.5,-8.8,26.42,29.76,138.13,0.92
2010-05-28 13:38:17,45,7.13,347,-3.4,56,20.86,286.5,411.51,931.8,-6.67,20.64,34.58,121.97,0.48
2011-03-18 20:52:57,66,2.7,168,15.6,59,11.66,1569.56,690.58,1121.4,25.76,3.69,12.39,168.99,0.61
2012-11-20 22:39:21,95,3.74,358,22.0,65,12.6,680.76,757.5,1146.5,-1.14,26.96,0.5,110.21,0.96
2008-01-29 13:14:28,4,18.57,208,30.4,56,47.25,771.68,870.49,744.7,29.84,8.67,1.22,133.82,0.4
2010-12-19 08:20:22,90,9.8,240,30.1,56,21.52,483.21,416.23,823.6,-9.56,30.86,30.92,88.27,0.34
2017-01-03 19:08:24,75,8.17,196,32.3,65,9.79,1732.48,813.82,848.7,3.48,9.67,18.34,9.29,0.27
2017-04-30 16:57:01,54,8.5,101,24.9,69,49.3,1492.53,783.47,1070.1,19.28,-5.28,26.7,133.7,0.32
2010-12-20 20:10:07,89,14.9,20,15.6,56,38.88,1218.91,107.56,1153.2,24.47,-9.69,23.4,188.94,0.9
2011-12-16 11:31:17,22,7.22,119,24.4,57,49.38,732.4,593.6,820.5,33.62,-8.58,38.32,113.6,0.68
2013-10-02 18:02:36,60,6.51,301,28.2,61,45.14,395.45,865.0,872.4,24.67,11.9,6.67,114.1,0.77
2008-07-04 20:12:22,94,12.39,320,19.9,56,1.27,784.1,821.42,737.8,28.45,19.86,37.67,187.39,0.89
2009-11-25 14:27:54,46,0.0,326,27.8,57,10.47,176.27,372.44,1090.1,18.55,-3.48,21.75,197.48,0.11
2012-06-25 23:47:18,10,4.11,255,33.6,56,38.2,677.62,532.38,745.8,26.2,7.4,12.36,171.83,0.56
2010-06-19 23:45:45,16,11.4,268,-4.6,61,21.89,906.98,714.75,1156.2,39.21,26.43,2.7,82.49,0.57
2011-01-18 13:57:09,12,14.86,240,20.6,57,2.88,708.71,39.82,728.2,22.94,13.99,36.2,157.84,0.91
2012-10-11 14:34:33,82,18.92,45,-2.5,60,32.13,1874.28,97.2,845.7,-3.7,24.67,2.94,115.84,0.21
2010-07-18 18:08:34,87,8.71,103,15.7,58,12.17,535.59,127.81,936.4,5.1,22.19,27.6,153.52,0.92
2012-12-05 12:09:57,24,4.47,353,-6.4,66,1.79,1633.45,546.3,776.6,-3.17,-1.6,11.87,195.51,0.31
2012-07-12 23:03:05,45,10.69,196,23.2,69,33.8,1193.85,599.52,1134.7,-7.51,39.46,30.51,10.6,0.58
2013-04-22 13:22:27,70,7.24,35,19.5,56,35.6,1627.2,731.74,1169.6,-5.94,6.37,2.87,21.17,0.68
2014-03-21 06:08:18,74,0.76,51,18.0,58,33.24,1412.47,898.46,1079.7,-1.2,-2.53,34.28,158.77,0.56
2008-12-20 17:25:35,44,0.55,186,15.6,67,4.38,1513.4,430.42,762.5,38.97,-6.8,34.39,106.99,0.6
2007-11-17 08:49:52,33,7.64,83,-5.9,59,39.56,1880.37,48.7,1062.4,19.79,36.85,7.7,94.29,0.93
